Country/area,Technology,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Malawi,Total renewable energy,Electricity generation (GWh),1072.001,1096.665,1150.658,1223.622,1301.766,1364.939,1398.421,1426.956,1667.83,1812.805,1890.992,1932.682,1928.818,1923.984,2033.592,2031.911,2020.338,1915.169,1457.103,1458.223
Mali,Total renewable energy,Electricity generation (GWh),245.141,360.419,788.88,1082.835,1022.491,1027.582,1020.287,1059.329,1093.865,1036.802,1074.51,1126.999,1236.868,1467.443,1524.412,1556.431,1673.856,1733.401,1733.401,1733.474
Mauritania,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,39.136,43.378,130.33,163.087,165.143,252.223,282.986
Mauritius,Total renewable energy,Electricity generation (GWh),525.743,548.065,537.735,566.601,592.275,568.194,522.795,552.178,594.807,608.942,577.316,548.942,566.833,593.961,596.16,680.6,663.5,623.7,648.7,701.8
Mayotte,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0.233,1.28,6.095,13.854,14.549,14.627,14.735,14.735,14.837,16.863,16.863,16.863
Morocco,Total renewable energy,Electricity generation (GWh),782.64,1076.7,1045.14,1653.98,1801.12,1182.9,1178.96,1195.034,1229.414,2976.034,4148.268,2740.165,2436.865,4219.065,3644.276,4453.616,4708.313,4719.55,6568.992,7626.253
Mozambique,Total renewable energy,Electricity generation (GWh),8843.946,11854.512,12705.725,10908.816,11705.465,13308.94,14758.206,16104.213,15163.023,16994.14,16695.408,16550.327,14927.405,14719.249,16258.352,17154.323,15669.246,14124.113,13970.795,14892.07
Namibia,Total renewable energy,Electricity generation (GWh),1310.804,1321.139,1461.79,1436.902,1520.939,1631.029,1588.569,1577.61,1537.115,1404.842,1375.958,1550.962,1508.39,1442.432,1548.421,1517.921,1597.921,1525.945,1336.666,1654.274
Niger,Total renewable energy,Electricity generation (GWh),0.8,1,1,1.1,1.3,1.6,1.8,1.8,2,2,3.4,4.9,6.5,8.2,9.8,11.4,13.1,14.8,32.7,32.7
Nigeria,Total renewable energy,Electricity generation (GWh),6454.2,6206.13,6403.09,7765.36,8099.48,13082.79,10603.45,7788.6,7455.6,7451.6,7207.4,5242.49,5344.54,6163.366,6189.161,6470.829,8203.018,7796.022,7747.137,8495.594
Reunion,Total renewable energy,Electricity generation (GWh),821,752,835,862,869.08,771.6,854.7,910.6,919.9,851.3,911.1,831.5,973.3,1062.7,941.7,1043.7,1003.7,967.1,1078.8,950.9
Rwanda,Total renewable energy,Electricity generation (GWh),105.8,90.07,99.11,118.6,85.48,100.413,128.207,124.316,158.161,163.21,192.607,224.236,272.354,243.67,300.106,347.956,359.069,344.809,379.615,444.608
Saint Helena,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Sao Tome Prn,Total renewable energy,Electricity generation (GWh),6.8,4.835,6.063,7.892,6.173,4.248,3.768,7.63,7.668,7.261,4.789,6.001,6.386,5.969,6.013,6.04,6.088,6.289,6.311,6.311
Senegal,Total renewable energy,Electricity generation (GWh),27.907,27.746,27.385,27.924,28.163,28.402,28.641,29.114,29.558,30.087,73.616,68.077,62.771,58.249,56.9,67.812,76.009,152.359,334.699,334.699
Seychelles,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0,7.284,8.115,8.431,9.251,9.693,12.358,12.358
Sierra Leone,Total renewable energy,Electricity generation (GWh),16,15,16,16,17.004,19.006,8.007,7.047,9.065,50.099,149.137,153.236,118.893,106.05,184.545,194.068,224.564,247.683,248.293,248.293
Somalia,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,3.854,3.854,4.01,5.171,12.191,16.975,17.246,17.246
South Africa,Total renewable energy,Electricity generation (GWh),2377.206,2724.314,1650.434,1160.812,1257.328,1522.981,2543.508,1596.914,1413.465,1627.748,2139.278,2288.207,1666.572,1530.93,2357.359,3698.297,4634.878,6475.042,7932.608,8290.358
South Sudan,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.24,0.24,0.24,0.642,0.674,0.827,0.974
Sudan,Total renewable energy,Electricity generation (GWh),1282.636,1346.066,1407.015,1293.015,1246.695,1404.894,1510.338,1600.692,1612.737,3379.401,6338.023,6591.872,6748.273,8466.305,9042.497,8551.347,8189.496,9496.965,9799.168,10340.527
Tanzania,Total renewable energy,Electricity generation (GWh),1872.528,1928.209,1913.171,1815.675,2082.981,1853.71,1513.149,2598.564,2741.92,2737.435,2807.324,2132.106,1915.358,1876.144,2781.953,2315.973,2591.735,2589.955,2480.306,2738.963
Togo,Total renewable energy,Electricity generation (GWh),90,91.77,92,235.936,235.936,235.936,172,180,174.061,219.066,185.184,201.934,165.662,74.643,121.22,58.964,207.181,207.769,211.591,212.571
Tunisia,Total renewable energy,Electricity generation (GWh),88.506,79.748,95.951,201.459,199.231,59.069,131.571,93.689,79.669,178.913,191.573,167.197,314.514,432.328,599.445,586.194,627.359,603.457,648.155,824.085
Uganda,Total renewable energy,Electricity generation (GWh),1606.946,1609.146,1740.93,1802.903,1946.975,1910.02,1219.463,1323.107,1447.883,1328.009,1443.132,1661.413,2615.387,3443.484,3494.525,3393.486,3540.61,3690.482,3941.229,4392.916
Westn Sahara,Total renewable energy,Electricity generation (GWh),,,,,,,,,,,,,,,,,,,,
Zambia,Total renewable energy,Electricity generation (GWh),7836.65,9019.51,8338.018,8348.359,8099.331,8753.973,9869.571,9923.017,9864.031,10601.502,10891.381,11938.354,12419.386,13348.572,14115.251,13110.333,11102.338,12551.241,13775.194,12427.228
Zimbabwe,Total renewable energy,Electricity generation (GWh),3292.586,3100.636,3881.385,5398.696,5590.456,4978.64,5391.675,5448.982,5767.683,5517.125,5865.499,5277.425,5594.518,5186.356,5619.783,5204.483,2943.848,4076.564,5730.231,5731.046
Afghanistan,Total renewable energy,Electricity generation (GWh),457.939,457.939,457.949,458.324,458.651,461.584,659.959,691.79,591.895,753.831,803.319,682.556,764.643,884.596,1000.125,1034.014,1060.53,1086.858,964.984,1192.701
Bangladesh,Total renewable energy,Electricity generation (GWh),1389.01,1293.014,1226.066,1126.85,1067.914,996.402,952.999,759.614,744.181,637.584,898.217,936.48,979.674,916.679,777.081,1008.472,1248.859,1312.523,1197.609,1147.644
Bhutan,Total renewable energy,Electricity generation (GWh),1967.875,1931.99,2129.25,2363.065,2439.865,2499.683,3582.595,5540.86,6761.815,6979.27,6997.677,7066.603,6823.777,7549.885,7164.535,7747.485,7953.885,7729.885,6960.185,8875.105
Brunei Darsm,Total renewable energy,Electricity generation (GWh),0,0,0,0,0,0,0,0,0,0,0.81,1.624,1.667,1.692,1.6,1.293,1.067,1.545,1.569,1.058
Cambodia,Total renewable energy,Electricity generation (GWh),40.136,30.268,29.555,40.985,28.944,44.451,53.294,57.216,53.574,57.314,41.038,69.383,537.464,1033.541,1884.511,2224.729,2647.416,2815.247,4856.771,4250.143
