Region,Country,Group Technology,Technology,Electricity Generation (GWh)
South America,Chile,Hydropower (excl. Pumped Storage),Renewable hydropower,23366.769
South America,Chile,Solar energy,On-grid Solar photovoltaic,5217.783
South America,Chile,Wind energy,Onshore wind energy,3587.895
South America,Colombia,Bioenergy,Biogas,3.825
South America,Colombia,Bioenergy,Solid biofuels,0.261
South America,Colombia,Bioenergy,Solid biofuels,1710.723
South America,Colombia,Hydropower (excl. Pumped Storage),Renewable hydropower,13.976
South America,Colombia,Hydropower (excl. Pumped Storage),Renewable hydropower,56647.014
South America,Colombia,Solar energy,Off-grid Solar photovoltaic,2.035
South America,Colombia,Solar energy,On-grid Solar photovoltaic,11.999
South America,Colombia,Wind energy,Onshore wind energy,43.437
South America,Ecuador,Bioenergy,Biogas,45.523
South America,Ecuador,Bioenergy,Solid biofuels,382.444
South America,Ecuador,Hydropower (excl. Pumped Storage),Renewable hydropower,16.411
South America,Ecuador,Hydropower (excl. Pumped Storage),Renewable hydropower,20661.591
South America,Ecuador,Solar energy,Off-grid Solar photovoltaic,3.311
South America,Ecuador,Solar energy,On-grid Solar photovoltaic,34.768
South America,Ecuador,Wind energy,Onshore wind energy,6.556
South America,Ecuador,Wind energy,Onshore wind energy,73.702
South America,Falkland Islands (Malvinas),Solar energy,Off-grid Solar photovoltaic,0.052
South America,Falkland Islands (Malvinas),Wind energy,Onshore wind energy,1.3
South America,Falkland Islands (Malvinas),Wind energy,Onshore wind energy,5.421
South America,French Guiana,Bioenergy,Solid biofuels,10.452
South America,French Guiana,Hydropower (excl. Pumped Storage),Renewable hydropower,538.279
South America,French Guiana,Solar energy,On-grid Solar photovoltaic,51.199
South America,Guyana,Bioenergy,Solid biofuels,23.376
South America,Guyana,Bioenergy,Solid biofuels,58.701
South America,Guyana,Hydropower (excl. Pumped Storage),Renewable hydropower,0
South America,Guyana,Hydropower (excl. Pumped Storage),Renewable hydropower,0.005
South America,Guyana,Solar energy,Off-grid Solar photovoltaic,2.41
South America,Guyana,Solar energy,On-grid Solar photovoltaic,6.115
South America,Guyana,Wind energy,Onshore wind energy,0.35
South America,Guyana,Wind energy,Onshore wind energy,0
South America,Paraguay,Bioenergy,Biogas,1.837
South America,Paraguay,Bioenergy,Solid biofuels,699.568
South America,Paraguay,Hydropower (excl. Pumped Storage),Renewable hydropower,59210.94
South America,Paraguay,Solar energy,Off-grid Solar photovoltaic,0.065
South America,Peru,Bioenergy,Biogas,50.597
South America,Peru,Bioenergy,Solid biofuels,194.38
South America,Peru,Bioenergy,Solid biofuels,207.382
South America,Peru,Hydropower (excl. Pumped Storage),Renewable hydropower,589.733
South America,Peru,Hydropower (excl. Pumped Storage),Renewable hydropower,30141.508
South America,Peru,Solar energy,Off-grid Solar photovoltaic,51.246
South America,Peru,Solar energy,On-grid Solar photovoltaic,745.401
South America,Peru,Wind energy,Onshore wind energy,1.226
South America,Peru,Wind energy,Onshore wind energy,1501.212
South America,South Georgia and the South Sandwich Islands,Hydropower (excl. Pumped Storage),Renewable hydropower,0.695
South America,Suriname,Bioenergy,Solid biofuels,6.451
South America,Suriname,Hydropower (excl. Pumped Storage),Renewable hydropower,0.631
South America,Suriname,Hydropower (excl. Pumped Storage),Renewable hydropower,956.353
South America,Suriname,Solar energy,Off-grid Solar photovoltaic,2.66
South America,Suriname,Solar energy,On-grid Solar photovoltaic,7.809
South America,Uruguay,Bioenergy,Biogas,29.31
South America,Uruguay,Bioenergy,Solid biofuels,2482.214
South America,Uruguay,Bioenergy,Liquid biofuels,17.955
South America,Uruguay,Hydropower (excl. Pumped Storage),Renewable hydropower,6556.625
South America,Uruguay,Solar energy,Off-grid Solar photovoltaic,2.677
South America,Uruguay,Solar energy,On-grid Solar photovoltaic,412.627
South America,Uruguay,Wind energy,Onshore wind energy,0.001
South America,Uruguay,Wind energy,Onshore wind energy,4732.21
South America,Venezuela (Bolivarian Republic of),Hydropower (excl. Pumped Storage),Renewable hydropower,3.5
South America,Venezuela (Bolivarian Republic of),Hydropower (excl. Pumped Storage),Renewable hydropower,25179.575
South America,Venezuela (Bolivarian Republic of),Solar energy,Off-grid Solar photovoltaic,4.725
South America,Venezuela (Bolivarian Republic of),Solar energy,On-grid Solar photovoltaic,1.55
South America,Venezuela (Bolivarian Republic of),Wind energy,Onshore wind energy,88.3
